timestamp,left_leg_pelvic_pitch,left_leg_pelvic_roll,left_leg_pelvic_yaw,left_leg_knee_pitch,left_leg_ankle_pitch,left_leg_ankle_roll,right_leg_pelvic_pitch,right_leg_pelvic_roll,right_leg_pelvic_yaw,right_leg_knee_pitch,right_leg_ankle_pitch,right_leg_ankle_roll,waist_yaw,left_shoulder_pitch,left_shoulder_roll,left_shoulder_yaw,left_elbow_pitch,left_wrist_yaw,left_wrist_pitch,left_wrist_roll,right_shoulder_pitch,right_shoulder_roll,right_shoulder_yaw,right_elbow_pitch,right_wrist_yaw,right_wrist_pitch,right_wrist_roll
0.000000,-0.454863,0.177150,0.049704,0.728818,-0.243662,-0.106888,-0.343853,-0.185938,-0.106660,0.748515,-0.364920,0.141539,-0.019050,0.170700,0.327000,0.442200,-1.092700,1.257000,-0.057700,-1.514000,-0.148700,-0.755400,0.306300,-1.864700,0.258500,0.155600,1.073400
0.020000,-0.454652,0.176002,0.047633,0.730082,-0.245530,-0.107084,-0.344691,-0.187189,-0.107663,0.749105,-0.364432,0.142040,-0.018937,0.170700,0.327000,0.442200,-1.092700,1.257000,-0.057700,-1.514000,-0.148700,-0.755400,0.306300,-1.864700,0.258500,0.155600,1.073400
0.040000,-0.454299,0.173995,0.043969,0.732263,-0.248764,-0.107440,-0.346136,-0.189368,-0.109449,0.750129,-0.363595,0.142903,-0.018736,0.170700,0.327000,0.442200,-1.092700,1.257000,-0.057700,-1.514000,-0.148700,-0.755400,0.306300,-1.864700,0.258500,0.155600,1.073400
0.060000,-0.453905,0.171547,0.039400,0.734852,-0.252626,-0.107904,-0.347846,-0.192002,-0.111703,0.751361,-0.362612,0.143922,-0.018484,0.170700,0.327000,0.442200,-1.092700,1.257000,-0.057700,-1.514000,-0.148700,-0.755400,0.306300,-1.864700,0.258500,0.155600,1.073400
0.080000,-0.453565,0.169028,0.034524,0.737387,-0.256455,-0.108435,-0.349516,-0.194669,-0.114155,0.752597,-0.361671,0.144912,-0.018211,0.170700,0.327000,0.442200,-1.092700,1.257000,-0.057700,-1.514000,-0.148700,-0.755400,0.306300,-1.864700,0.258500,0.155600,1.073400
0.100000,-0.453348,0.166686,0.029719,0.739553,-0.259798,-0.109010,-0.350932,-0.197088,-0.116639,0.753702,-0.360899,0.145742,-0.017937,0.170700,0.327000,0.442200,-1.092700,1.257000,-0.057700,-1.514000,-0.148700,-0.755400,0.306300,-1.864700,0.258500,0.155600,1.073400
0.120000,-0.453296,0.164656,0.025182,0.741164,-0.262392,-0.109621,-0.351969,-0.199096,-0.119074,0.754594,-0.360374,0.146337,-0.017671,0.170700,0.327000,0.442200,-1.092700,1.257000,-0.057700,-1.514000,-0.148700,-0.755400,0.306300,-1.864700,0.258500,0.155600,1.073400
0.140000,-0.453437,0.163009,0.021004,0.742113,-0.264090,-0.110267,-0.352556,-0.200608,-0.121425,0.755233,-0.360141,0.146654,-0.017417,0.170700,0.327000,0.442200,-1.092700,1.257000,-0.057700,-1.514000,-0.148700,-0.755400,0.306300,-1.864700,0.258500,0.155600,1.073400
0.160000,-0.453787,0.161786,0.017230,0.742341,-0.264808,-0.110949,-0.352651,-0.201575,-0.123678,0.755593,-0.360226,0.146666,-0.017178,0.170700,0.327000,0.442200,-1.092700,1.257000,-0.057700,-1.514000,-0.148700,-0.755400,0.306300,-1.864700,0.258500,0.155600,1.073400
0.180000,-0.454354,0.161004,0.013886,0.741816,-0.264505,-0.111667,-0.352235,-0.201973,-0.125824,0.755661,-0.360643,0.146361,-0.016954,0.170700,0.327000,0.442200,-1.092700,1.257000,-0.057700,-1.514000,-0.148700,-0.755400,0.306300,-1.864700,0.258500,0.155600,1.073400
0.200000,-0.455138,0.160671,0.010979,0.740534,-0.263173,-0.112420,-0.351305,-0.201796,-0.127857,0.755437,-0.361392,0.145737,-0.016747,0.170700,0.327000,0.442200,-1.092700,1.257000,-0.057700,-1.514000,-0.148700,-0.755400,0.306300,-1.864700,0.258500,0.155600,1.073400
0.220000,-0.456133,0.160775,0.008508,0.738516,-0.260841,-0.113205,-0.349874,-0.201059,-0.129776,0.754926,-0.362465,0.144804,-0.016555,0.170700,0.327000,0.442200,-1.092700,1.257000,-0.057700,-1.514000,-0.148700,-0.755400,0.306300,-1.864700,0.258500,0.155600,1.073400
0.240000,-0.457325,0.161293,0.006456,0.735807,-0.257567,-0.114019,-0.347973,-0.199793,-0.131580,0.754146,-0.363841,0.143580,-0.016379,0.170700,0.327000,0.442200,-1.092700,1.257000,-0.057700,-1.514000,-0.148700,-0.755400,0.306300,-1.864700,0.258500,0.155600,1.073400
0.260000,-0.458691,0.162190,0.004799,0.732476,-0.253443,-0.114854,-0.345649,-0.198047,-0.133272,0.753123,-0.365489,0.142095,-0.016219,0.170700,0.327000,0.442200,-1.092700,1.257000,-0.057700,-1.514000,-0.148700,-0.755400,0.306300,-1.864700,0.258500,0.155600,1.073400
0.280000,-0.460206,0.163417,0.003499,0.728609,-0.248587,-0.115706,-0.342962,-0.195885,-0.134856,0.751888,-0.367370,0.140386,-0.016073,0.170700,0.327000,0.442200,-1.092700,1.257000,-0.057700,-1.514000,-0.148700,-0.755400,0.306300,-1.864700,0.258500,0.155600,1.073400
0.300000,-0.461837,0.164916,0.002511,0.724315,-0.243142,-0.116565,-0.339985,-0.193384,-0.136337,0.750483,-0.369436,0.138498,-0.015940,0.170700,0.327000,0.442200,-1.092700,1.257000,-0.057700,-1.514000,-0.148700,-0.755400,0.306300,-1.864700,0.258500,0.155600,1.073400
0.320000,-0.463546,0.166620,0.001781,0.719713,-0.237271,-0.117423,-0.336801,-0.190632,-0.137724,0.748953,-0.371633,0.136482,-0.015819,0.170700,0.327000,0.442200,-1.092700,1.257000,-0.057700,-1.514000,-0.148700,-0.755400,0.306300,-1.864700,0.258500,0.155600,1.073400
0.340000,-0.465295,0.168459,0.001252,0.714935,-0.231149,-0.118270,-0.333498,-0.187726,-0.139025,0.747348,-0.373902,0.134395,-0.015708,0.170700,0.327000,0.442200,-1.092700,1.257000,-0.057700,-1.514000,-0.148700,-0.755400,0.306300,-1.864700,0.258500,0.155600,1.073400
0.360000,-0.467042,0.170354,0.000862,0.710119,-0.224962,-0.119097,-0.330172,-0.184765,-0.140248,0.745719,-0.376183,0.132294,-0.015605,0.170700,0.327000,0.442200,-1.092700,1.257000,-0.057700,-1.514000,-0.148700,-0.755400,0.306300,-1.864700,0.258500,0.155600,1.073400
0.380000,-0.468744,0.172230,0.000547,0.705405,-0.218899,-0.119893,-0.326917,-0.181851,-0.141405,0.744119,-0.378411,0.130239,-0.015509,0.170700,0.327000,0.442200,-1.092700,1.257000,-0.057700,-1.514000,-0.148700,-0.755400,0.306300,-1.864700,0.258500,0.155600,1.073400
0.400000,-0.470360,0.174011,0.000247,0.700930,-0.213143,-0.120649,-0.323826,-0.179086,-0.142504,0.742600,-0.380527,0.128289,-0.015417,0.170700,0.327000,0.442200,-1.092700,1.257000,-0.057700,-1.514000,-0.148700,-0.755400,0.306300,-1.864700,0.258500,0.155600,1.073400
0.420000,-0.471850,0.175624,-0.000097,0.696824,-0.207869,-0.121356,-0.320990,-0.176564,-0.143554,0.741212,-0.382472,0.126497,-0.015329,0.170700,0.327000,0.442200,-1.092700,1.257000,-0.057700,-1.514000,-0.148700,-0.755400,0.306300,-1.864700,0.258500,0.155600,1.073400
0.440000,-0.473180,0.177003,-0.000540,0.693206,-0.203238,-0.122006,-0.318488,-0.174372,-0.144565,0.739999,-0.384192,0.124915,-0.015242,0.170700,0.327000,0.442200,-1.092700,1.257000,-0.057700,-1.514000,-0.148700,-0.755400,0.306300,-1.864700,0.258500,0.155600,1.073400
0.460000,-0.474316,0.178092,-0.001126,0.690180,-0.199390,-0.122590,-0.316392,-0.172586,-0.145542,0.739001,-0.385642,0.123588,-0.015156,0.170700,0.327000,0.442200,-1.092700,1.257000,-0.057700,-1.514000,-0.148700,-0.755400,0.306300,-1.864700,0.258500,0.155600,1.073400
0.480000,-0.475233,0.178844,-0.001895,0.687832,-0.196439,-0.123103,-0.314761,-0.171269,-0.146491,0.738250,-0.386784,0.122550,-0.015068,0.170700,0.327000,0.442200,-1.092700,1.257000,-0.057700,-1.514000,-0.148700,-0.755400,0.306300,-1.864700,0.258500,0.155600,1.073400
0.500000,-0.475912,0.179222,-0.002874,0.686227,-0.194472,-0.123540,-0.313639,-0.170467,-0.147416,0.737770,-0.387587,0.121831,-0.014979,0.170700,0.327000,0.442200,-1.092700,1.257000,-0.057700,-1.514000,-0.148700,-0.755400,0.306300,-1.864700,0.258500,0.155600,1.073400
0.520000,-0.476340,0.179204,-0.004079,0.685406,-0.193546,-0.123898,-0.313054,-0.170211,-0.148318,0.737578,-0.388033,0.121446,-0.014889,0.170700,0.327000,0.442200,-1.092700,1.257000,-0.057700,-1.514000,-0.148700,-0.755400,0.306300,-1.864700,0.258500,0.155600,1.073400
0.540000,-0.476511,0.178782,-0.005516,0.685387,-0.193683,-0.124174,-0.313017,-0.170512,-0.149198,0.737678,-0.388116,0.121405,-0.014796,0.170700,0.327000,0.442200,-1.092700,1.257000,-0.057700,-1.514000,-0.148700,-0.755400,0.306300,-1.864700,0.258500,0.155600,1.073400
0.560000,-0.476426,0.177961,-0.007179,0.686161,-0.194871,-0.124369,-0.313524,-0.171365,-0.150052,0.738069,-0.387837,0.121703,-0.014701,0.170700,0.327000,0.442200,-1.092700,1.257000,-0.057700,-1.514000,-0.148700,-0.755400,0.306300,-1.864700,0.258500,0.155600,1.073400
0.580000,-0.476097,0.176760,-0.009048,0.687697,-0.197068,-0.124484,-0.314553,-0.172744,-0.150877,0.738737,-0.387211,0.122327,-0.014606,0.170700,0.327000,0.442200,-1.092700,1.257000,-0.057700,-1.514000,-0.148700,-0.755400,0.306300,-1.864700,0.258500,0.155600,1.073400
0.600000,-0.475538,0.175212,-0.011094,0.689937,-0.200196,-0.124523,-0.316064,-0.174607,-0.151665,0.739661,-0.386264,0.123253,-0.014510,0.170700,0.327000,0.442200,-1.092700,1.257000,-0.057700,-1.514000,-0.148700,-0.755400,0.306300,-1.864700,0.258500,0.155600,1.073400
0.620000,-0.474774,0.173361,-0.013277,0.692804,-0.204151,-0.124490,-0.318005,-0.176897,-0.152408,0.740811,-0.385029,0.124448,-0.014416,0.170700,0.327000,0.442200,-1.092700,1.257000,-0.057700,-1.514000,-0.148700,-0.755400,0.306300,-1.864700,0.258500,0.155600,1.073400
